,date,open,high,low,close,volume
0,20241005  00:15:30,1.79,1.79,1.78,1.78,-1
0,20241005  00:15:40,1.78,1.81,1.78,1.81,-1
0,20241005  00:15:50,1.81,1.81,1.81,1.81,-1
0,20241005  00:16:00,1.81,1.81,1.78,1.78,-1
0,20241005  00:16:10,1.78,1.8,1.78,1.79,-1
0,20241005  00:16:20,1.79,1.79,1.79,1.79,-1
0,20241005  00:16:30,1.79,1.79,1.78,1.78,-1
0,20241005  00:16:40,1.78,1.78,1.75,1.75,-1
0,20241005  00:16:50,1.75,1.75,1.75,1.75,-1
0,20241005  00:17:00,1.75,1.75,1.72,1.72,-1
0,20241005  00:17:10,1.72,1.72,1.72,1.72,-1
0,20241005  00:17:20,1.72,1.72,1.66,1.67,-1
0,20241005  00:17:30,1.67,1.69,1.66,1.69,-1
0,20241005  00:17:40,1.69,1.69,1.69,1.69,-1
0,20241005  00:17:50,1.69,1.69,1.69,1.69,-1
0,20241005  00:18:00,1.69,1.69,1.66,1.69,-1
0,20241005  00:18:10,1.69,1.72,1.69,1.72,-1
0,20241005  00:18:20,1.72,1.72,1.69,1.69,-1
0,20241005  00:18:30,1.69,1.69,1.69,1.69,-1
0,20241005  00:18:40,1.69,1.69,1.69,1.69,-1
0,20241005  00:18:50,1.69,1.69,1.69,1.69,-1
0,20241005  00:19:00,1.69,1.69,1.69,1.69,-1
0,20241005  00:19:10,1.69,1.69,1.69,1.69,-1
0,20241005  00:19:20,1.69,1.69,1.69,1.69,-1
0,20241005  00:19:30,1.69,1.69,1.69,1.69,-1
0,20241005  00:19:40,1.69,1.69,1.69,1.69,-1
0,20241005  00:19:50,1.69,1.69,1.69,1.69,-1
0,20241005  00:20:00,1.69,1.72,1.69,1.72,-1
0,20241005  00:20:10,1.72,1.72,1.72,1.72,-1
0,20241005  00:20:20,1.72,1.72,1.72,1.72,-1
0,20241005  00:20:30,1.72,1.75,1.72,1.75,-1
0,20241005  00:20:40,1.75,1.78,1.75,1.76,-1
0,20241005  00:20:50,1.76,1.78,1.75,1.76,-1
